Country Name,Country Code,"2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2020 [YR2020] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2021 [YR2021] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2022 [YR2022] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2024 [YR2024] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2024 [YR2024] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
Late-demographic dividend,LTE,76.6937147799405,6.12303976552995,76.306088329774,5.91048493178983,76.9545802485126,5.82776755014006,77.130120543495,..,..,..
Latin America & Caribbean,LCN,73.188934023043,8.38374816425483,71.8141668022872,8.23371799180171,74.647198943632,7.90136984174411,75.6435293327332,..,..,..
Latin America & Caribbean (excluding high income),LAC,72.8759217271338,8.2876438164754,71.4377016432982,8.13535309612735,74.4897262626476,7.78984926933923,75.4986013301866,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,73.0747493617473,8.28411032814084,71.7449274626405,8.23664334209078,74.5684293540859,7.90302350490199,75.5699258379688,..,..,..
Least developed countries: UN classification,LDC,64.8323585417323,3.89338014156628,64.267342334044,3.98524780059738,65.7631857632163,3.86908075861082,66.5161002597788,..,..,..
Low & middle income,LMY,70.7486800091755,5.50648181410466,69.6717843895896,5.43628957876351,71.6852818823469,5.28070740290848,71.9740048771462,..,..,..
Low income,LIC,62.8180995019214,5.82017896388899,62.3799887227483,5.78697302683995,63.4583102800447,5.70982778826442,64.5178957936853,..,..,..
Lower middle income,LMC,68.040356336938,3.82557700475676,66.3662902978306,3.96645501282719,69.3010946755529,3.89208323319219,69.5963746571515,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan",MEA,69.9110789555644,5.79883576129704,69.7113193479505,5.51406133568945,71.6918319737772,4.77770057338766,72.0839412410497,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,69.0506342866219,5.06689821689,68.9280214782653,5.06053293001311,71.0055315443397,4.66238097726895,71.2758849884582,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,69.0090964026373,5.01675275494453,68.893103228232,5.00871922352969,70.965432550888,4.61587067886576,71.3194560888195,..,..,..
Middle income,MIC,71.5214553857761,5.5033139127362,70.3957107787488,5.43298571451409,72.5175506717212,5.27623676497642,72.7431938727471,..,..,..
North America,NAC,77.4498099795241,18.3966978308261,76.8657678890549,17.1061221251478,77.8327679594239,16.0873935052985,78.7328213732191,..,..,..
Not classified,INX,..,..,..,..,..,..,..,..,..,..
OECD members,OED,78.958047957323,13.9548021437434,78.5886217634772,13.3825455870966,79.5215684599377,12.8581997119343,80.1615573011432,..,..,..
Other small states,OSS,72.5097097789427,7.93783922265748,71.7699719301416,8.09387882200355,72.9049248661262,7.59538348982629,73.5646945094343,..,..,..
Pacific island small states,PSS,68.3568108792759,6.21384084271434,67.4810209240703,7.29417195704484,69.1004348993561,5.69865043834882,69.2745949035856,..,..,..
Post-demographic dividend,PST,80.0659140743109,14.4439450584228,79.7955815488505,13.8579358206883,80.1978532076615,13.3619145459507,80.8228346378274,..,..,..
Pre-demographic dividend,PRE,60.5012070014439,4.42106073375997,60.2752505117259,4.58624778178435,61.3832880029503,4.40453866350323,62.1636298902791,..,..,..
Small states,SST,71.8255552822673,7.60723148624133,70.7756825891382,7.66740724885444,72.3794678577605,6.97269446236539,72.9007197557042,..,..,..
South Asia,SAS,70.3622206982499,3.26397792686911,67.8215299767513,3.2821181510924,72.0115731308447,3.26451802514628,72.3247648783903,..,..,..
South Asia (IDA & IBRD),TSA,70.3622206982499,3.26397792686911,67.8215299767513,3.2821181510924,72.0115731308447,3.26451802514628,72.3247648783903,..,..,..
Sub-Saharan Africa,SSF,61.1675270829902,5.04436577902093,60.7034363660672,5.20576275196705,61.8571795894802,5.07480351716063,62.6029134885664,..,..,..
Sub-Saharan Africa (excluding high income),SSA,60.6222294256854,5.14779123579897,60.1774746494858,5.32770890491954,61.2833535992957,5.2202508707307,62.0654798813283,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,61.1675270829902,5.04436577902093,60.7034363660672,5.20576275196704,61.8571795894802,5.07480351716063,62.6029134885664,..,..,..
Upper middle income,UMC,75.2315516201179,5.9450607413489,74.7276149865895,5.80130253492925,76.0092804332746,5.63327835699657,76.1953051028563,..,..,..
World,WLD,72.1822239463873,10.8588447253121,71.2154841745704,10.3399925552483,72.9690157226638,9.88666161312111,73.3297162833404,..,..,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,
